Batsman,Runs,Matches,Highest Score,Average,Strike Rate,Hundreds,Fifties,Fours,Sixes
Rahul Tripathi,273,13,74*,22.75,128.16,0,1,29,10
Mayank Agarwal,270,10,83,27.00,128.57,0,1,29,6
Devdutt Padikkal,261,11,52,26.10,130.50,0,2,31,6
David Miller,259,16,46,32.38,145.50,0,0,18,13
Aiden Markram,248,13,50,22.55,125.88,0,1,18,8
Nehal Wadera,241,14,64,26.78,145.18,0,2,23,12
Ayush Badoni,238,15,59*,23.80,138.37,0,1,13,12
Tim David,231,16,45*,25.67,158.21,0,0,12,15
Andre Russell,227,14,42,20.64,145.51,0,0,13,18
Rahmanullah Gurbaz,227,11,81,20.64,133.52,0,2,17,15
Abhishek Sharma,226,11,67,20.55,143.94,0,2,28,6
Phil Salt,218,9,87,27.25,163.90,0,2,24,10
Rilee Rossouw,209,9,82*,29.86,148.22,0,1,17,11
Ravindra Jadeja,190,16,25*,23.75,142.85,0,0,11,9
Harry Brook,190,11,100*,21.11,123.37,1,0,23,4
Krunal Pandya,188,15,49*,18.80,113.93,0,0,15,6
Atharva Taide,186,7,66,26.57,144.18,0,2,20,6
Abdul Samad,169,9,37*,42.25,132.03,0,0,10,11
Manish Pandey,160,10,50,17.78,109.58,0,1,15,3
Ambati Rayudu,158,16,27*,15.80,139.82,0,0,10,9
Shahrukh Khan,156,14,41*,22.29,165.95,0,0,13,9
Dhruv Jurel,152,13,34*,21.71,172.72,0,0,11,9
Quinton De Kock,143,4,70,35.75,140.19,0,1,10,8
Dinesh Karthik,140,13,30,11.67,134.61,0,0,13,5
Sikandar Raza,139,7,57,27.80,141.83,0,1,10,6
Mahipal Lomror,135,12,54*,16.88,139.17,0,1,9,8
Rashid Khan,130,17,79*,32.50,216.66,0,1,8,13
Mitchell Marsh,128,9,63,14.22,131.95,0,1,11,7
Moeen Ali,124,15,23,17.71,136.26,0,0,12,6
Matthew Short,117,6,36,19.50,127.17,0,0,15,4
Abhinav Manohar,114,9,42,19.00,137.34,0,0,6,7
Shardul Thakur,113,11,68,14.13,161.42,0,1,13,4
Aman Khan,110,11,51,13.75,108.91,0,1,7,6
Prithvi Shaw,106,8,54,13.25,124.70,0,1,16,1
Anmolpreet Singh,105,4,36,26.25,128.04,0,0,15,2
MS Dhoni,104,16,32*,26.00,182.45,0,0,3,10
Prerak Mankad,93,5,64*,31.00,129.16,0,1,12,2
Anuj Rawat,91,9,29*,30.33,128.16,0,0,6,4
Jagadeesan Narayan,89,6,36,14.83,109.87,0,0,14,1
Rahul Tewatia,87,17,20*,21.75,152.63,0,0,3,7
Deepak Hooda,84,12,17,7.64,93.33,0,0,3,2
Riyan Parag,78,7,20,13.00,118.18,0,0,4,5
Harpreet Bhatia,76,3,41,25.33,128.81,0,0,8,3
Bhanuka Rajapaksa,71,4,50,23.67,114.51,0,1,6,2
Vivrant Sharma,69,3,69,69.00,146.80,0,1,9,2
Ravichandran Ashwin,67,13,30,11.17,131.37,0,0,5,3
Lalit Yadav,66,6,38,13.20,111.86,0,0,8,0
Krishnappa Gowtham,61,7,23,15.25,164.86,0,0,2,5
Washington Sundar,60,7,24*,15.00,100.00,0,0,6,0
Michael Bracewell,58,5,26,29.00,123.40,0,0,6,1
Sarfaraz Khan,53,4,30,13.25,85.48,0,0,4,1
Harpreet Brar,52,13,17*,8.67,126.82,0,0,5,2
Ripal Patel,49,5,23,16.33,113.95,0,0,3,1
Shahbaz Ahmed,42,10,20*,10.50,107.69,0,0,3,1
Bhuvneshwar Kumar,42,14,27,14.00,89.36,0,0,4,0
Glenn Phillips,39,5,25,7.80,177.27,0,0,2,4
Marco Jansen,39,8,17*,13.00,90.69,0,0,4,0
Anrich Nortje,37,10,23*,12.33,127.58,0,0,6,0
Vishnu Vinod,37,3,30,12.33,119.35,0,0,2,2
Suyash S Prabhudessai,35,5,19,8.75,120.68,0,0,1,2
David Willey,35,4,20*,-,109.37,0,0,4,0
Wanindu Hasaranga,33,8,12*,16.50,117.85,0,0,3,0
Abishek Porel,33,4,20,8.25,106.45,0,0,1,2
Kuldeep Yadav,31,14,10*,15.50,64.58,0,0,2,0
Dasun Shanaka,26,3,17,13.00,100.00,0,0,2,1
Piyush Chawla,25,16,18,12.50,113.63,0,0,1,1
Tristan Stubbs,25,2,20,12.50,80.64,0,0,2,0
Hrithik Shokeen,23,8,18*,23.00,135.29,0,0,4,0
Anukul Roy,23,4,13*,11.50,121.05,0,0,3,0
Adil Rashid,22,2,18,11.00,137.50,0,0,2,1
Priyam Garg,22,2,12,11.00,95.65,0,0,1,0
David Wiese,21,3,12*,21.00,190.90,0,0,0,3
Mayank Markande,21,10,18*,-,161.53,0,0,2,1
Sunil Narine,21,14,7*,3.00,84.00,0,0,2,1
Rishi Dhawan,20,6,19,10.00,166.66,0,0,1,1
Ravi Bishnoi,20,15,5,6.67,74.07,0,0,1,0
Umran Malik,19,8,19*,19.00,237.50,0,0,1,2
Umesh Yadav,19,8,6*,9.50,105.55,0,0,1,0
Amit Mishra,19,7,19,19.00,63.33,0,0,2,0
Arshad Khan,18,6,15*,9.00,120.00,0,0,0,1
Akash Deep,17,2,17,17.00,212.50,0,0,2,1
Akeal Hosein,16,1,16*,-,160.00,0,0,1,1
Trent Boult,16,10,15,16.00,114.28,0,0,1,1
Praveen Dubey,16,1,16,16.00,80.00,0,0,2,0
Naveen-Ul-Haq,16,8,13,16.00,76.19,0,0,2,0
Yash Dhull,16,4,13,5.33,69.56,0,0,1,0
Ben Stokes,15,2,8,7.50,107.14,0,0,2,0
Mandeep Singh,14,3,12,4.67,87.50,0,0,0,1
Arjun Tendulkar,13,4,13,13.00,144.44,0,0,0,1
Vyshak Vijaykumar,13,7,13*,13.00,144.44,0,0,0,1
Kedar Jadhav,12,2,12*,-,120.00,0,0,1,0
Jason Holder,12,8,11,6.00,109.09,0,0,0,1
Karan Sharma,12,2,9,6.00,57.14,0,0,0,0
Mark Wood,11,4,10*,11.00,220.00,0,0,1,1
Sanvir Singh,11,2,7,11.00,122.22,0,0,1,1
Manan Vohra,10,1,10,10.00,90.90,0,0,1,0
Joe Root,10,3,10,10.00,66.66,0,0,1,0
Adam Zampa,10,6,7,3.33,62.50,0,0,0,0
Jaydev Unadkat,9,3,9,9.00,128.57,0,0,1,0
Noor Ahmad,8,13,7*,4.00,88.88,0,0,1,0
Mukesh Kumar,7,10,6*,-,77.77,0,0,0,0
Rovman Powell,7,3,4,2.33,77.77,0,0,1,0
Alzarri Joseph,7,7,7*,-,58.33,0,0,1,0
Harshal Patel,6,13,6,3.00,100.00,0,0,0,1
Kumar Kartikeya Singh,6,8,6,6.00,85.71,0,0,1,0
Jason Behrendorff,6,12,3*,-,66.66,0,0,0,0
Chris Jordan,6,6,4,3.00,50.00,0,0,0,0
Mohammad Shami,5,17,5,2.50,83.33,0,0,1,0
Litton Das,4,1,4,4.00,100.00,0,0,1,0
Jofra Archer,4,5,3*,-,100.00,0,0,0,0
Chetan Sakariya,4,2,4,4.00,66.66,0,0,1,0
Vaibhav Arora,3,5,2*,-,150.00,0,0,0,0
Karn Sharma,3,7,2,1.50,60.00,0,0,0,0
Arshdeep Singh,2,14,2*,-,100.00,0,0,0,0
Mitchell Santner,2,3,1*,-,50.00,0,0,0,0
Swapnil Singh,2,2,2*,-,50.00,0,0,0,0
Wayne Parnell,2,7,2,2.00,40.00,0,0,0,0
Sandeep Sharma,2,12,2*,-,33.33,0,0,0,0
Mustafizur Rahman,1,2,1*,-,100.00,0,0,0,0
Ishant Sharma,1,8,1*,-,100.00,0,0,0,0
Abdul Basith,1,1,1*,-,100.00,0,0,0,0
Deepak Chahar,1,10,1*,-,50.00,0,0,0,0
Mohit Rathee,1,1,1*,-,50.00,0,0,0,0
Josh Hazlewood,1,3,1*,-,50.00,0,0,0,0
Mohammed Siraj,1,14,1*,1.00,50.00,0,0,0,0
Yudhvir Singh,1,3,1,0.50,50.00,0,0,0,0
Fazalhaq Farooqi,1,4,1*,-,20.00,0,0,0,0
Nathan Ellis,1,10,1,0.50,14.28,0,0,0,0
Varun Chakaravarthy,1,14,1,1.00,11.11,0,0,0,0
,,,,,,,,,
