Batsman,Runs,Matches,Highest Score,Average,Strike Rate,Hundreds,Fifties,Fours,Sixes
Shubman Gill,890,17,129,59.33,157.80,3,4,85,33
Faf Du Plessis,730,14,84,56.15,153.68,0,8,60,36
Devon Conway,672,16,92*,51.69,139.70,0,6,77,18
Virat Kohli,639,14,101*,53.25,139.82,2,6,65,16
Yashasvi Jaiswal,625,14,124,48.08,163.61,1,5,82,26
Suryakumar Yadav,605,16,103*,43.21,181.13,1,5,65,28
Ruturaj Gaikwad,590,16,92,42.14,147.50,0,4,46,30
David Warner,516,14,86,36.86,131.63,0,6,69,10
Rinku Singh,474,14,67*,59.25,149.52,0,4,31,29
Ishan Kishan,454,15,75,30.27,142.76,0,3,54,18
Cameron Green,452,16,100*,50.22,160.28,1,2,40,22
Heinrich Klaasen,448,12,104,49.78,177.07,1,2,32,25
Shivam Dube,418,16,52,38.00,158.33,0,3,12,35
Nitish Rana,413,14,75,31.77,140.95,0,3,39,20
Marcus Stoinis,408,15,89*,31.38,150.00,0,3,28,27
Venkatesh Iyer,404,14,104,28.86,145.84,1,2,32,21
Glenn Maxwell,400,14,77,33.33,183.48,0,5,29,31
Jos Buttler,392,14,95,28.00,139.00,0,4,42,14
Kyle Mayers,379,13,73,29.15,144.10,0,4,38,22
Shikhar Dhawan,373,11,99*,41.44,142.91,0,3,49,12
Wriddhiman Saha,371,17,81,23.19,129.26,0,2,47,8
Sanju Samson,362,14,66*,30.17,153.38,0,3,25,24
Sai Sudharsan,362,8,96,51.71,141.40,0,3,33,12
Nicholas Pooran,358,15,62,29.83,172.94,0,2,26,26
Simran Singh,358,14,103,25.57,150.42,1,1,38,19
Hardik Pandya,346,16,66,31.45,136.75,0,2,26,15
Tilak Varma,343,11,84*,42.88,164.11,0,1,26,23
Rohit Sharma,332,16,65,20.75,132.80,0,2,35,17
Ajinkya Rahane,326,14,71*,32.60,172.48,0,2,24,16
Jitesh Sharma,309,14,49*,23.77,156.06,0,0,22,21
Vijay Shankar,301,14,63*,37.63,160.10,0,3,27,15
Shimron Hetmyer,300,14,56*,37.50,152.28,0,1,12,23
Jason Roy,285,8,61,35.63,151.59,0,2,36,12
Axar Patel,283,14,54,28.30,139.40,0,1,21,15
Liam Livingstone,279,9,94,34.88,163.15,0,2,20,19
Sam Curran,276,14,55,27.60,135.96,0,1,20,13
K L Rahul,274,9,74,34.25,113.22,0,2,28,4
