Batsman,Runs,Matches,Highest Score,Average,Strike Rate,Hundreds,Fifties,Fours,Sixes
Jos Buttler,863,17,116,57.53,149.05,4,4,83,45
K L Rahul,616,15,103*,51.33,135.38,2,4,45,30
Quinton De Kock,508,15,140*,36.29,148.97,1,3,47,23
Hardik Pandya,487,15,87*,44.27,131.26,0,4,49,12
Shubman Gill,483,16,96,34.50,132.32,0,4,51,11
David Miller,481,16,94*,68.71,142.72,0,2,32,23
Faf Du Plessis,468,16,96,31.20,127.52,0,3,49,13
Shikhar Dhawan,460,14,88*,38.33,122.66,0,3,47,12
Sanju Samson,458,17,55,28.63,146.79,0,2,43,26
Deepak Hooda,451,15,59,32.21,136.66,0,4,36,18
Liam Livingstone,437,14,70,36.42,182.08,0,4,29,34
David Warner,432,12,92*,48.00,150.52,0,5,52,15
Abhishek Sharma,426,14,75,30.43,133.12,0,2,47,13
Ishan Kishan,418,14,81*,32.15,120.11,0,3,45,11
Rahul Tripathi,413,14,76,37.55,158.23,0,3,40,20
Shreyas Iyer,401,14,85,30.85,134.56,0,3,41,11
Tilak Varma,397,14,61,36.09,131.02,0,2,29,16
Aiden Markram,381,14,68*,47.63,139.05,0,3,25,19
Devdutt Padikkal,376,17,54,22.12,122.87,0,1,40,14
Ruturaj Gaikwad,368,14,99,26.29,126.46,0,3,33,14
Nitish Rana,361,14,57,27.77,143.82,0,2,29,22
Virat Kohli,341,16,73,22.73,115.98,0,2,32,8
Rishabh Pant,340,14,44,30.91,151.78,0,0,35,16
Andre Russell,335,14,70*,37.22,174.47,0,1,18,32
Rajat Patidar,333,8,112*,55.50,152.75,1,2,27,18
Dinesh Karthik,330,16,66*,55.00,183.33,0,1,27,22
Wriddhiman Saha,317,11,68,31.70,122.39,0,3,40,7
Shimron Hetmyer,314,15,59*,44.86,153.92,0,1,21,21
Nicholas Pooran,306,14,64*,38.25,144.33,0,2,16,21
Suryakumar Yadav,303,8,68*,43.29,145.67,0,3,23,16
Glenn Maxwell,301,13,55,27.36,169.10,0,1,31,15
Shivam Dube,289,11,95*,28.90,156.21,0,2,22,16
Prithvi Shaw,283,10,61,28.30,152.97,0,2,37,10
Ambati Rayudu,274,13,78,24.91,122.32,0,1,25,15
Rohit Sharma,268,14,48,19.14,120.17,0,0,28,13
Yashasvi Jaiswal,258,10,68,25.80,132.98,0,2,28,10
Jonny Bairstow,253,11,66,23.00,144.57,0,2,34,9
Devon Conway,252,7,87,42.00,145.66,0,3,22,12
Mitchell Marsh,251,8,89,31.38,132.80,0,2,19,14
Rovman Powell,250,14,67*,25.00,149.70,0,1,10,22
Moeen Ali,244,10,93,24.40,137.85,0,1,24,11
Jitesh Sharma,234,12,44,29.25,163.63,0,0,22,12
MS Dhoni,232,14,50*,33.14,123.40,0,1,21,10
Robin Uthappa,230,12,88,20.91,134.50,0,2,19,14
Shahbaz Ahmed,219,16,45,27.38,120.99,0,0,14,9
Rahul Tewatia,217,16,43*,31.00,147.61,0,0,22,9
Kane Williamson,216,13,57,19.64,93.50,0,1,16,8
